Name,Department,Rating,Would Take Again,Level of Difficulty
Sarah Prasad,English & Comparative Lit.,3.6,54%,2.7
Victoria Lington,Music,3.2,40%,3.5
Anqi Shao,Mathematics,3.7,82%,2
Alexander Elabed,Communication,3.4,63%,2.6
Yunjian Qiu,Mechanical Engineering,5.0,100%,2.3
Raymond Kwok,Electrical Engineering,3.2,40%,3.6
Mohammad Saleem,Mathematics,3.6,47%,3.1
Arman Medina,Kinesiology,3.5,70%,2.4
Yan Zhang,Mathematics,4.1,71%,4
Yinghua Michelle Huang,Hospitality,3.9,84%,1.9
Dave Ma,Music,5.0,100%,1.5
Joni Bodart,Library Science,1.5,5%,3.8
Sabine Mooney,Nutrition & Foods,3.0,67%,2.7
Kara Davis,Dance,2.9,34%,2.8
Lucas Hatton,Communication Studies,4.3,86%,2.1
Gregory Courand,Engineering,4.0,84%,2.5
Wahida Akter,Biology,2.3,50%,2.8
Howard Tokunaga,Psychology,4.3,82%,2.4
Jayanthi Gowrikanthan,Biology,2.4,0%,4.2
Andrew Delunas,Philosophy,4.7,93%,1.5
Julie Sliva Spitzer,Mathematics,2.4,18%,3.5
Ayca Erdogan,Industrial Engineering,4.2,71%,3.6
Rosanna Alvarez,Communication,4.4,84%,2.6
Brad Buerer,Geology,4.2,100%,2.5
Olga Kovaleva,Mathematics,3.0,38%,3.5
Ninos Malek,Economics,4.6,90%,2.5
Monique Duphily,Recreation,2.7,28%,3.4
Richard Craig,Journalism,4.4,69%,2.5
Eugene Cordero,Meteorology,4.0,100%,2.4
Reiko Kataoka,Linguistics & Language Dev.,4.4,88%,2.4
Faith Kirk,English Comparative Lit.,4.9,100%,1.8
Yasser Shahin,Fine Arts,3.3,67%,2.2
Paul Cascella,Communication Disorders,5.0,100%,2.5
Kevin Nguyen,Mathematics,5.0,100%,1.5
Robert Marx,Child Development,4.3,67%,2.7
Rich Burkhard,Business,4.1,57%,2.1
Kenneth Gehrt,Marketing,2.5,33%,3.3
J. Todd Ormsbee,Humanities,3.4,50%,4
Asbjorn Osland,Business,3.8,81%,2.5
Juan Gamboa,Ethnic Studies,4.8,100%,2.5
Shreeyukta Singh,Chemistry,1.6,15%,3.7
Sara Cook,English,3.6,75%,3.8
Daniel Hendel De La O,English,3.5,50%,2.4
Priya Raman,Communication,4.2,100%,3.2
Allison Gregory,English & Comparative Lit.,5.0,100%,1.6
Colleen Haight,Economics,4.0,72%,3
Artem Meshcheryakov,Accounting Finance,3.0,54%,3.8
Carlos Singh,Business,3.2,43%,2.7
Jang Cho,Business,3.5,83%,3.1
Thomas Shirley,Business,3.9,67%,2.9
Elizabeth Garcia,Business,3.5,59%,2.8
Lance Fung,Art & Design,4.5,85%,3
Jonathan Roth,History,4.0,67%,3.2
Esperanza Huerta,Accounting,3.4,72%,3.1
Jacquelyn Brady,Psychology,4.2,84%,3
Caroline Chen,Accounting,4.2,81%,3.9
Chung-Wen Tsao,Computer Science,2.1,29%,3.5
Josine Smits,Art History,2.8,36%,4
Navrati Saxena,Computer Science,4.1,82%,3.1
Yasin Ceran,Business,2.8,44%,3
Saugher Nojan,Asian American Studies,4.3,84%,2.1
Jason Laker,Counselor Education,2.2,0%,3.1
Vakini Santhanakrishnan,Astronomy,4.2,73%,2.8
Charles Yao,Mechanical Engineering,1.0,0%,5
Eveline Bellegarda,Electrical Engineering,3.8,71%,3.7
Andrew Bond,Computer Engineering,2.9,45%,2.8
John Wilhelmsson,Philosophy,4.6,94%,1.7
Ravi Agarwal,Marketing,5.0,100%,2
Mayra Cerda,Anthropology,4.2,80%,2.7
Ron Pasek,Accounting & Finance,3.6,63%,4.5
Gabriel Negrete,Social Work,4.3,75%,2
Elizabeth Sonnier,Philosophy,3.4,68%,1.9
Seshadri Paravastu,Business,3.7,60%,2.8
Audrey Chan,Mathematics,4.2,80%,3.4
Gregory Woods,Justice Studies,3.0,49%,3.2
Genya Ishigaki,Computer Science,4.1,78%,3.1
Erin Woodhead,Psychology,4.2,60%,2.8
Ruth Barefoot,Library Information Science,2.9,54%,1.9
Prateek Jain,Computer Science,1.9,23%,3.8
Kathleen Normington,Theater,3.9,71%,2.4
Yeonji No,Business,2.9,47%,3.5
Kyle Yrigoyen,Philosophy,4.1,59%,2.6
Kala Padmanabhan,Chemistry,2.3,30%,3.4
Cleber Ouverney,Biology,4.1,40%,2.6
Dominic Abucejo,Computer Science,4.1,82%,2.3
Sonia Cuellar-Ortiz,Biology,3.2,50%,3.3
Phuong Phan,Mathematics,3.6,54%,3.3
Jane Huynh,Engineering,2.7,43%,3.4
Roxana Marachi,Education,5.0,100%,2.6
Tony Papanikolas,English & Comparative Lit.,5.0,100%,1.5
Jennifer Bechkoff,Business,3.6,54%,3
Malu Roldan,Business,3.1,56%,2.9
Mostafa Jalal,English amp Comparative Lit.,4.9,98%,1.7
Alicia Hedges,Anthropology,4.8,92%,2.2
Kyle Hertsch,Philosophy,5.0,100%,1.1
Bianca Hinojosa,Psychology,4.8,100%,1.8
Ali Mehran,Engineering,3.5,75%,3.5
Jesus Aguilar,Photography,5.0,100%,2
Yoshimitsu Shimazu,Japanese,3.9,74%,2.7
Avantika Rohatgi,English & Comparative Lit.,2.9,26%,3
Susanna Gallardo,Women's Studies,3.6,54%,2.8
Krupa Patel,Philosophy,4.2,83%,2.4
Joanne Rondilla,Asian American Studies,3.5,57%,3.1
Trisha Bergthold,Mathematics,4.0,100%,2.7
Singmay Chou,Business,4.0,74%,2.7
Jason Hernandez,Aviation,4.7,95%,2.7
Nick Martinez,"Radio, TV & Film",3.7,88%,2.5
Jooyeon Ha,Business,3.7,67%,2.7
Cheyla Samuelson,Spanish,5.0,100%,1.5
Bo Mou,Philosophy,3.4,76%,2.7
Iman Roohnavaz,Philosophy,3.4,55%,3.4
Dennis Romano,Aviation,3.9,78%,4.1
Alejandra Campos,Spanish,2.3,15%,3.9
Trevor Katzakian,Aviation,5.0,100%,1.5
Joe Hinz,Communication Disorders,5.0,100%,3
Scott Alkire,English,4.3,73%,2.1
Dawit Demissie,Library & Information Science,5.0,100%,3.3
Maite Urcaregui,Writing,3.7,72%,3.6
Laura Sanchez,Chemistry,4.3,82%,3.1
JonLuc Christensen,Library & Information Science,4.2,67%,3.7
Atom Murata,Accounting & Finance,2.8,40%,3.6
Varadharajan Ramachandran,Business,5.0,100%,2.8
Karen Harvey,Nutrition & Foods,3.9,69%,2.5
Shama Ball,Linguistics & Language Dev.,5.0,100%,2.2
Kevin Lynch,Justice Studies,3.3,58%,2.4
Armin Moghadam,Technology,4.1,80%,3.2
Qi Wang,Chinese,5.0,100%,2
Vijay Eranti,Computer Science,1.0,0%,4
Joseph Dworak,Business,4.4,85%,2.9
Soo Ho Choi,Asian American Studies,3.6,73%,2.3
Christopher Dizon,Writing,5.0,100%,1.3
Neha Khapare,Health Science,2.8,50%,3.3
Francesca Cipponeri,Education,5.0,100%,1.2
Jesslyn Chong,Psychology,3.0,67%,3.3
Scott Jensen,Business,2.7,24%,3.8
Daniel De La O,English,4.4,88%,2.2
Kaushik Patra,Computer Science,2.4,29%,4.3
Emmanuel Sequeira,Accounting & Finance,4.2,81%,3.6
Carlos Garcia,Sociology,4.0,84%,3.5
Udeme Ndon,Civil Engineering,3.1,34%,2.7
Faranak Abri,Computer Science,3.9,79%,2.8
Emi Ishida,Materials Engineering,5.0,100%,2.8
Philip Dirlam,Chemistry,5.0,100%,3.3
Kerri Malloy,Sociology,4.4,80%,2.6
Vee Lawson,English & Comparative Lit.,5.0,100%,3
Sahika Vatan,Industrial Engineering,5.0,100%,4
Ramamurti Sridar,Business,3.7,74%,1.8
Ghislaine Lang,Economics,2.6,22%,3.5
Donna Crane,Political Science,4.5,83%,2.3
Kristen Radsliff Rebmann,Library Science,3.4,72%,3.1
Emmanuel Gabet,Geology,2.8,35%,3.3
Giang Le,Mathematics,3.0,45%,3
Robert Benzio,Aerospace Studies,2.7,48%,2.1
Stephanie Spencer,Nutrition & Foods,4.1,100%,2.7
Barani Win,Kinesiology,4.2,84%,1.8
Jonathan Gomez,Chicano Studies,5.0,100%,3
Mohamad Zoabi,Biology,3.5,50%,3
Sravani Vadlamani,Civil Engineering,4.3,100%,2.5
Sisi Dong,Psychology,4.7,100%,2.3
Devam Sheth,Mathematics,2.0,0%,3
Cyrus Zomorrodi,Biology,5.0,100%,2
Steven Vukazich,Civil Engineering,4.3,75%,2.8
Shirley Reekie,Physical Ed,3.7,43%,3.4
Olivia Yip,Civil Engineering,5.0,100%,2.7
Maureen Smith,Education,2.5,14%,3.6
Matthew Faulkner,Accounting & Finance,4.1,64%,3.8
Harold Peterson,Justice Studies,4.6,90%,2.4
Sylvia Branca,Child Development,4.6,92%,2.6
Paula Oakes,Child Development,3.8,83%,2.3
Stefan Frazier,Linguistics & Language Dev.,4.7,100%,2.5
Joseph Petsche,Geology,4.6,95%,1.7
Daniel Rivers,American Studies,5.0,100%,2.9
Siri Veland,Geology,1.8,17%,4.5
Faramarz Mortezaie,Computer Science,3.5,70%,3
Ahmed Banafa,Engineering,4.9,98%,2.2
Logan Walker,"Radio, TV & Film",3.5,74%,2.4
Johnny Moreno,Theater,4.7,96%,1.5
Victoria Thorp,English & Comparative Lit.,4.7,93%,2.4
Gustavo Flores,Anthropology,2.9,55%,2.7
Ash Rahmani,Communication Studies,5.0,100%,1.5
Kevin Mannens,Art,4.0,67%,3.3
Tom Pham,Industrial Engineering,5.0,100%,1
Morgan Pershing,Library & Information Science,1.0,0%,5
Philly Toney,Recreation,4.4,84%,2.3
Mike (Ching-seh) Wu,Computer Science,4.1,76%,3.3
Robert Wood,Business,3.9,50%,2.9
Joe Biagini,"Radio, TV & Film",4.7,89%,2
Arthur Casey,Business,4.4,92%,1.8
Jill Citron,Psychology,3.7,74%,3.1
Jeremy Abrams,History,4.3,82%,2.5
Zaki Hasan,Communication Studies,4.4,87%,2.1
Manami Iwata,Japanese,4.5,88%,3
Richard Grotegut,Technology,4.9,100%,1.9
Ching Ching Tan,Communication,4.5,91%,2.1
Joey Noel,Nursing,5.0,100%,2.5
Jessica Keaton,English Comparative Lit.,3.6,84%,2.9
Yawo Ezunkpe,Aerospace Studies,2.8,40%,4.3
Simona Snitkovsky,Music,5.0,100%,1
Walter Adams,Biology,4.8,100%,2.9
Thomas Wrappe,Electrical Engineering,3.1,50%,4.3
Gilles Muller,Chemistry,4.2,100%,2.6
Sandy Chen,Music,4.8,100%,1.3
Sriram Rao,Computer Science,3.0,50%,4.5
Joe Petsche,Geology,4.7,97%,2
Shu Zhou,Business,3.9,85%,2
Preetpal Kang,Computer Engineering,4.2,75%,2.6
Nancy Long,Business,4.5,89%,2.3
Walter Easter,Marketing,3.3,56%,2.9
Kevin SooHoo,Business,4.6,86%,1.6
Mike Hill,Business,4.5,85%,1.8
Marcos Cepin,Biology,3.9,77%,3.7
Timothy Hill,Business,4.8,92%,2.7
Liz Linden,Art History,4.1,75%,2.6
Haonan Wang,Computer Engineering,1.7,12%,4.3
Lawrence Lan,Asian American Studies,4.0,75%,2
Gretchen Simms,Art History,3.5,63%,3.6
Fern Alberts,Philosophy,3.4,42%,2.7
Jonathan Wu,Business,4.9,97%,2.6
Javier Cardoza-Kon,Philosophy,2.3,41%,3.2
Caitlin Jeffrey,History,2.6,34%,3.8
Spoorthy Ananthaiah,Computer Engineering,2.8,60%,3.4
Myra Haubrich,Business,5.0,100%,1.4
Kelly Zhao,Asian Studies,5.0,100%,1.3
Yining Nie,Linguistics & Language Dev.,4.0,67%,2.7
Glenn Callaghan,Psychology,4.6,92%,3
Maria Berm Cayco,Mathematics,1.9,0%,4.3
Christian May,Physical Ed,4.6,90%,1.5
Nancy Park,Communication Studies,5.0,100%,1.8
Marci Harris,Political Science,5.0,100%,1.7
Erika Carrillo,Anthropology,3.8,78%,2.6
Ash Padwal,Business,4.3,72%,2.1
Jennifer Barnett,Music,3.7,67%,2
Ismaila Diallo,Science,4.5,100%,1.5
Samuel Hwang,Justice Studies,2.0,0%,3
Lisa Bernasconi,Philosophy,4.4,98%,1.4
Vivian Antonellis,Communication Studies,4.8,82%,2.1
William Andreopoulos,Computer Science,4.1,80%,3.2
William Armaline,Justice Studies,4.6,87%,3.1
Hanna Rigby,Aviation,5.0,100%,3.3
Sneha Hazarika,Sociology,3.0,100%,3
Helen Meservey,English amp Comparative Lit.,4.6,74%,2.5
Padmaja Iyer,Environmental Studies,5.0,100%,1.8
Natsuko Tsuji,Nutrition amp Foods,4.6,88%,1.1
Amith Belman,Computer Science,5.0,100%,2.8
Steven Silver,Marketing,1.8,8%,3.7
Zerrin Erkal,Linguistics,4.6,100%,1.8
David Ramos,Communication,4.5,95%,1.9
Jing Zhang,Marketing,4.3,89%,2.8
Alen Yaghoubi,Counselor Education,4.3,78%,1.1
Anna Demarchi,French,5.0,100%,2.7
Hadley Debrine,Mathematics,3.7,100%,3
Christopher Fathman,English & Comparative Lit.,5.0,100%,4.3
Sabina Giri,Social Science,4.0,100%,2.5
Mohammed Ameen,Mechanical Engineering,3.5,100%,2
Mahesh Rajan,Marketing,3.3,41%,3
Greg Hanle,Economics,4.2,72%,2.8
Eleanor Marsh,Spanish,4.7,100%,1.4
Nathaniel Lupton,Business,3.3,60%,3.5
Albert Chang,Mathematics,3.6,67%,2.3
Ammar Rayes,Industrial Engineering,4.7,100%,2
Krissy Connell,Child Development,3.3,60%,3.6
Regina Arnold,English amp Comparative Lit.,4.6,100%,2.5
Dennis Estrada,Justice Studies,4.7,100%,1.7
Saptarshi Sengupta,Computer Science,4.5,100%,3.5
Dina Kameda,Justice Studies,3.8,58%,3
Patrick Murphy,Mathematics,4.5,93%,3.1
Jeffrey Hare,Urban & Regional Planning,2.5,50%,3.5
Emily Slusser,Child Development,4.7,100%,2.3
Darwyyn Deyo,Economics,3.1,50%,3.8
Sina Aboutorabi,Technology,2.2,30%,3.5
Amir Armani,Mechanical Engineering,1.8,23%,4.6
Timothy Cech,English & Comparative Lit.,4.0,67%,3
Misako Van Der Poel,Mathematics,2.8,29%,3.7
Komal Sanjaykumar Joshi,Mathematics,3.3,55%,3
Midori Ishida,Japanese,5.0,100%,2.9
Ryan Kim,Justice Studies,2.8,50%,4.3
Maryam Khazaei Pool,Computer Science,3.0,50%,2.5
Ashraf Shirani,Business,3.3,46%,2.6
Laura Pirazzi,Child Development,4.5,97%,2
Craig Cisar,Kinesiology,3.6,53%,2.9
Jennifer Schachner,Physical Ed,4.9,100%,1.2
David De Lorenzo,Library & Information Science,3.6,69%,2.2
John Diniz,Chemistry,3.2,58%,3.3
Leif Rogers,Communication,4.1,84%,2.6
Matthew Crockett,Kinesiology,4.5,94%,2.3
Rose Wang,Chemistry,2.7,46%,3.6
Mary Evangeliste,Library & Information Science,3.8,67%,2
Wil Doane,Library & Information Science,1.5,0%,3.3
"Xiao ""Rose"" Wang",Chemistry,2.0,0%,4
Andrea Gottlieb,Mathematics,3.7,64%,2.8
Slobodan Simic,Mathematics,4.4,79%,3
Duorah Smita,Materials Engineering,3.1,65%,3.5
David Ocampo,Mass Communications,3.4,69%,2.6
Katharine Studer,English & Comparative Lit.,4.2,67%,2.3
Radha Aravamudhan,Aerospace Studies,4.8,100%,2
Ray Buyco,History,4.4,83%,2.7
Leanne Lindelof,English,3.8,72%,3.2
Lienanh Mai,Health Science,3.3,50%,2.3
Laurie Steinberg,Nutrition & Foods,4.4,96%,2.1
Lucinda Cabral,Linguistics,2.2,28%,3.7
